epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,134.664,0.47327,0.35742,0.89467,0.98946,1,0.995,0.995,0.35295,0.24903,0.7535,0.0008714,0.0008714,0.0008714
59,136.8,0.50014,0.35234,0.9076,0.98856,1,0.995,0.95996,0.36391,0.25196,0.75726,0.0008516,0.0008516,0.0008516
60,138.873,0.4472,0.33736,0.84354,0.98794,1,0.995,0.91272,0.37003,0.24675,0.76212,0.0008318,0.0008318,0.0008318
61,140.988,0.41507,0.35073,0.87382,0.9861,1,0.995,0.9313,0.38306,0.27236,0.76653,0.000812,0.000812,0.000812
62,143.09,0.40211,0.33592,0.82161,0.98587,1,0.995,0.94704,0.38143,0.28538,0.76319,0.0007922,0.0007922,0.0007922
63,145.277,0.46178,0.35213,0.8447,0.98528,1,0.995,0.93124,0.37437,0.30115,0.75674,0.0007724,0.0007724,0.0007724
64,147.502,0.46238,0.35658,0.84752,0.98724,1,0.995,0.93392,0.36533,0.26726,0.75166,0.0007526,0.0007526,0.0007526
65,149.7,0.43824,0.36374,0.853,0.98971,1,0.995,0.92461,0.35824,0.24121,0.75026,0.0007328,0.0007328,0.0007328
66,152.06,0.44262,0.36807,0.83021,0.99069,1,0.995,0.92497,0.35383,0.24493,0.74984,0.000713,0.000713,0.000713
67,154.359,0.38539,0.33083,0.84121,0.99082,1,0.995,0.94137,0.34049,0.2281,0.75594,0.0006932,0.0006932,0.0006932
68,156.724,0.39589,0.33105,0.81895,0.99069,1,0.995,0.94375,0.33112,0.22616,0.75506,0.0006734,0.0006734,0.0006734
69,159.117,0.39871,0.33147,0.83472,0.9906,1,0.995,0.95139,0.32337,0.22427,0.74838,0.0006536,0.0006536,0.0006536
70,161.426,0.37824,0.32401,0.82164,0.99083,1,0.995,0.995,0.32026,0.21275,0.74494,0.0006338,0.0006338,0.0006338
71,163.746,0.42656,0.3322,0.86089,0.9909,1,0.995,0.995,0.31031,0.20594,0.74549,0.000614,0.000614,0.000614
72,166.013,0.3508,0.30274,0.83141,0.99078,1,0.995,0.9785,0.28998,0.18868,0.74858,0.0005942,0.0005942,0.0005942
73,168.276,0.38652,0.32262,0.81054,0.9909,1,0.995,0.95973,0.33229,0.24861,0.75204,0.0005744,0.0005744,0.0005744
74,170.518,0.40373,0.33038,0.82895,0.99084,1,0.995,0.97823,0.3249,0.21671,0.75371,0.0005546,0.0005546,0.0005546
75,172.709,0.40511,0.31184,0.83146,0.99083,1,0.995,0.978,0.29263,0.20015,0.75187,0.0005348,0.0005348,0.0005348
76,174.928,0.43461,0.35522,0.86196,0.99087,1,0.995,0.97721,0.27792,0.18809,0.7463,0.000515,0.000515,0.000515
77,177.135,0.42166,0.31224,0.84684,0.99084,1,0.995,0.95808,0.26206,0.17957,0.74028,0.0004952,0.0004952,0.0004952
78,179.376,0.36777,0.30361,0.81387,0.99085,1,0.995,0.95862,0.29144,0.22099,0.7393,0.0004754,0.0004754,0.0004754
79,181.663,0.4097,0.30227,0.87519,0.9906,1,0.995,0.95793,0.28369,0.22345,0.73773,0.0004556,0.0004556,0.0004556
80,183.844,0.36658,0.28145,0.8372,0.99043,1,0.995,0.973,0.25501,0.1849,0.73746,0.0004358,0.0004358,0.0004358
81,186.271,0.38641,0.31794,0.84805,0.99059,1,0.995,0.995,0.26237,0.19316,0.73916,0.000416,0.000416,0.000416
82,188.609,0.35354,0.29777,0.80925,0.99093,1,0.995,0.995,0.26618,0.18638,0.74143,0.0003962,0.0003962,0.0003962
83,191.061,0.36478,0.30492,0.85388,0.99103,1,0.995,0.97347,0.26476,0.18619,0.73937,0.0003764,0.0003764,0.0003764
84,193.464,0.31516,0.27353,0.82347,0.99105,1,0.995,0.9745,0.26467,0.20028,0.73738,0.0003566,0.0003566,0.0003566
85,195.691,0.35086,0.29894,0.82842,0.99105,1,0.995,0.995,0.26499,0.19309,0.7374,0.0003368,0.0003368,0.0003368
86,197.906,0.40243,0.32468,0.89389,0.99103,1,0.995,0.995,0.26478,0.19059,0.73908,0.000317,0.000317,0.000317
87,200.188,0.33541,0.28897,0.8247,0.99101,1,0.995,0.995,0.26615,0.17877,0.74127,0.0002972,0.0002972,0.0002972
88,202.466,0.31918,0.28552,0.84931,0.99102,1,0.995,0.96292,0.28403,0.19108,0.74225,0.0002774,0.0002774,0.0002774
89,204.702,0.36974,0.30075,0.84906,0.99104,1,0.995,0.94459,0.29542,0.18987,0.74353,0.0002576,0.0002576,0.0002576
